"ID","RawName","ActualEvent"
"1","19 GS - Group A","WS"
"2","19 GS - Group B","WS"
"3","19 BS - Group D","MS"
"4","19 BS - Group B","MS"
"5","19 BS - Group C","MS"
"6","19 BS - Group A","MS"
"7","19 MX - Group C","XD"
"8","19 MX - Group B","XD"
"9","19 MX - Group D","XD"
"10","19 MX - Group A","XD"
"11","19 BD - Group A","MD"
"12","19 BD - Group B","MD"
"13","19 GD","WD"
"14","19 BS","MS"
"15","19 MX","XD"
"16","19 MX Consolation","XD"
"17","19 BS Consolation","MS"
"18","19 GS","WS"
"19","19 GS Consolation","WS"
"20","19 BD","MD"
"21","19 BD Consolation","MD"
"22","MS 65","MS"
"23","MS 70","MS"
"24","MS 75","MS"
"25","WS 60","WS"
"26","WD 65","WD"
"27","XD 55","XD"
"28","XD 70","XD"
"29","MS 60 pool - Group B","MS"
"30","WD 50","WD"
"31","WD 60","WD"
"32","XD 65","XD"
"33","WS 70","WS"
"34","MS 55","MS"
"35","MS 50","MS"
"36","MD 60","MD"
"37","MD 65","MD"
"38","WS 65","WS"
"39","MD 55 pool - Group B","MD"
"40","MD 55 pool - Group A","MD"
"41","WD 55","WD"
"42","XD 75","XD"
"43","XD 60","XD"
"44","WD 70","WD"
"45","XD 50","XD"
"46","MS 80","MS"
"47","MD 70","MD"
"48","WS 75","WS"
"49","MD 75","MD"
"50","MS 60 pool - Group A","MS"
"51","MD 50","MD"
"52","MS 35","MS"
"53","XD 40","XD"
"54","WS 45","WS"
"55","XD 35","XD"
"56","XD 45","XD"
"57","WD 40","WD"
"58","MS 45","MS"
"59","MD 35 pool - Group B","MD"
"60","WD 35","WD"
"61","MD 35 pool - Group A","MD"
"62","WD 45","WD"
"63","MD 45","MD"
"64","MD 40","MD"
"65","MS 40","MS"
"66","WS 35","WS"
"67","WS 40","WS"
"68","WD 75","WD"
"69","MD 55 pool - MD 55","MD"
"70","MD 80","MD"
"71","MD 35 pool - MD 35","MD"
"72","MS 60 pool - MS 60","MS"
"73","XD 80","XD"
"74","MS - Qualification","MS"
"75","WS - Qualification","WS"
"76","XD - Qualification","XD"
"77","XD","XD"
"78","MS","MS"
"79","MD","MD"
"80","WD","WD"
"81","WS","WS"
"82","U12_BS","MS"
"83","U12_GS","WS"
"84","U16_BS","MS"
"85","U16_GS","WS"
"86","U12_GD","WD"
"87","U12_BD","MD"
"88","U16_BD","MD"
"89","U14_BS","MS"
"90","U14_GS","WS"
"91","U19_BS","MS"
"92","U14_GD","WD"
"93","U14_BD","MD"
"94","U19_BD","MD"
"95","DXD","XD"
"96","DMS","MS"
"97","DWS","WS"
"98","CMS","MS"
"99","BMS","MS"
"100","AWS","WS"
"101","CXD","XD"
"102","BXD","XD"
"103","90+MD","MD"
"104","AMS","MS"
"105","AXD","XD"
"106","90+XD","XD"
"107","BMD","MD"
"108","DMD","MD"
"109","CMD","MD"
"110","DWD","WD"
"111","BWD","WD"
"112","CWD","WD"
"113","AMD","MD"
"114","AWD","WD"
"115","JBD","MD"
"116","JGD","WD"
"117","JGS","WS"
"118","JBS","MS"
"119","SGD","WD"
"120","SBD","MD"
"121","SBS","MS"
"122","SGS","WS"
"123","U15 BS - Group C","MS"
"124","U15 BS - Group D","MS"
"125","U11 GS - Group B","WS"
"126","U15 BS - Group A","MS"
"127","U15 BS - Group B","MS"
"128","U11 GS - Group A","WS"
"129","U17 BS - Group C","MS"
"130","U17 BS - Group D","MS"
"131","U17 BS - Group A","MS"
"132","U17 BS - Group B","MS"
"133","U15 GS - Group A","WS"
"134","U15 GS - Group D","WS"
"135","U15 GS - Group B","WS"
"136","U15 GS - Group C","WS"
"137","U13 BS - Group B","MS"
"138","U11 BS - Group B","MS"
"139","U13 BS - Group A","MS"
"140","U13 GS","WS"
"141","U15 BD - Group A","MD"
"142","U11 BS - Group A","MS"
"143","U15 BD - Group B","MD"
"144","U17 GS","WS"
"145","U13 GD","WD"
"146","U15 GD","WD"
"147","U11 GD","WD"
"148","U13 BD","MD"
"149","U17 BD","MD"
"150","U15 MX - Group A","XD"
"151","U15 MX - Group B","XD"
"152","U15 MX - Group C","XD"
"153","U15 MX - Group D","XD"
"154","U11 MX - Group A","XD"
"155","U11 MX - Group B","XD"
"156","U13 MX","XD"
"157","U17 MX","XD"
"158","U11 BD","MD"
"159","U17 GD","WD"
"160","U15 MX","XD"
"161","U17 BS","MS"
"162","U11 BS","MS"
"163","U11 BS 5th-8th Place - U11 BS Consolation","MS"
"164","U15 GS","WS"
"165","U15 BS","MS"
"166","U13 BS","MS"
"167","U11 MX","XD"
"168","U15 MX 5th-8th Place - U15 MX Consolation","XD"
"169","U11 MX 5th-8th Place - U11 MX Consolation","XD"
"170","U17 BS 5th-8th Place - U17 BS Consolation","MS"
