"Id","Name","StreetAddress","PostalCode","Locality","Region","Country","PhoneNumber","Email"
1,"Golden Gate Badminton Club","190 Constitution Drive","94025","Menlo Park","CA","U.S.A.","",""
2,"Shula's Hotel and Golf Club","6842 Main Street","","Miami Lakes","Florida","U.S.A.","(305) 820-8100","adriana.torres@donshulahotel.com"
3,"Thomas A Stewart Secondary School","1009 Armour Road North","","Peterborough","ON","Canada","",""
4,"Bay Badminton","1611 Adrian Road","94010","Burlingame","CA","U.S.A.","650-692-1611","info@baybadminton.com"
5,"Shuswap Middle School","","","Salmon Arm","BC","Canada","",""
6,"Salmon Arm Secondary","","","Salmon Arm","BC","Canada","",""
8,"Orange County Badminton Club","1432 North Main Street","92867","Orange","CA","U.S.A.","",""
9,"Ajax HS","105 Bayly Street East","L1S 1P2","Ajax","Ontario","Canada","905-429-0901","fabcoach@rogers.com"
11,"Balboa Park Activity Center","2145 Park Blvd","92101","San Diego","CA","U.S.A.","",""
12,"Kelowna Badminton Club","1090 Richter Street","V1Y 2K5","Kelowna","BC","Canada","(250) 317-5715","pondsupplies@hotmail.com"
16,"Brushy Creek Community Center","16318 Great Oaks Drive","78681","Round Rock","TX","U.S.A.","512 255 7871",""
18,"Randolph Recreation Center","200 S. Randolph","","Tucson","Arizona","U.S.A.","",""
20,"Netsports","3717 Davis Drive","","Morrisville","NC","U.S.A.","",""
21,"Ajax High School","105 Bayly Street East","L1S 1P2","Ajax","Ontario","Canada","905-683-1610",""
22,"Elk Grove Pavilion","1000 Wellington","60007","Elk Grove","IL","U.S.A.","",""
24,"Interlake High School","16245 NE 24th St.","98008","Bellevue","WA","U.S.A.","425-456-7200",""
25,"Club Atwater","3505 Atwater Avenue","H3H 1Y2","Montreal","Quebec","Canada","514 935 2431",""
27,"MIT Rockwell Cage","Vassar Street","2139","Cambridge","MA","U.S.A.","",""
28,"OCBC","1432 N. Main St.","92867","Orange","CA","U.S.A.","",""
29,"Texins Activity Centers","13900 North Central Expressway","75243","Dallas","Texas","U.S.A.","214.567.3777","officers@texinsbadmintonclub.com"
32,"John Bowne High School","63-25 Main St.","11367","Flushing","NY","U.S.A.","646-271-3228","info@nycbadminton.com"
33,"Bay Badminton Club","1611 Adrian Road","94010","Burlingame","CA","U.S.A.","",""
35,"Wentworth Institute of Technology","550 Huntington Avenue","","Boston","MA","U.S.A.","",""
36,"Ryerson Kerr Hall Gym","379 Victoria St.","","Toronto","Ontario","Canada","","badmin@ryerson.ca"
38,"Orange County BC","1432 N. Main St","92867","Orange","CA","U.S.A.","1-714-6396222","OCBCmail@aol.com"
39,"Durham College","","","Oshawa","Ontario","Canada","",""
40,"Athletic Centre (U of T)","55 Harbord Street","","Toronto","Ontario","Canada","",""
41,"Manhattan Beach Badminton Club","516 - 18th Street","90266","Manhattan Beach","CA","U.S.A.","",""
43,"Athletic Centre (University of Toronto)","55 Harbord Street","","Toronto","Ontario","Canada","",""
44,"ZBTC","33540 Central Ave","94587","Union City (San Franscisco)","CA","U.S.A.","510-487-9282","widmeister@yahoo.com"
45,"Athletic Centre","55 Harbord Street","","Toronto","Ontario","Canada","",""
46,"Maverick Activities Center, University of Texas at Arlington","500 W. Nedderman Drive","76019","Arlington","Texas","U.S.A.","817-272-3277","deepak_kamath@yahoo.com"
47,"CP Badminton Club(CPBC)","20-24 119th Street","11356","College Point","New York","U.S.A.","347-368-4124","tournament@cpbadminton.com"
49,"UCLA","220 Westwood Plaza","90095","Los Angeles","CA","U.S.A.","714.230.5105","bruinopen@gmail.com"
50,"KBC","1090 Richter Kelowna","","Kelowna","BC","Canada","",""
