"Id","Name","StreetAddress","PostalCode","Locality","Region","Country","PhoneNumber","Email"
1,"Golden Gate Badminton Club","190 Constitution Drive","94025","Menlo Park","CA","U.S.A.","",""
2,"Shula's Hotel and Golf Club","6842 Main Street","","Miami Lakes","Florida","U.S.A.","(305) 820-8100","adriana.torres@donshulahotel.com"
3,"Thomas A Stewart Secondary School","1009 Armour Road North","","Peterborough","ON","Canada","",""
4,"Bay Badminton","1611 Adrian Road","94010","Burlingame","CA","U.S.A.","650-692-1611","info@baybadminton.com"
5,"Shuswap Middle School","","","Salmon Arm","BC","Canada","",""
6,"Salmon Arm Secondary","","","Salmon Arm","BC","Canada","",""
7,"Antvorskovhallen","Sejrøvej 1","4200","Slagelse","","Denmark","",""
8,"Orange County Badminton Club","1432 North Main Street","92867","Orange","CA","U.S.A.","",""
9,"Ajax HS","105 Bayly Street East","L1S 1P2","Ajax","Ontario","Canada","905-429-0901","fabcoach@rogers.com"
10,"Wiener Stadthalle - Halle B","Vogelweidplatz 14","1150","Vienna","","Austria","",""
11,"Balboa Park Activity Center","2145 Park Blvd","92101","San Diego","CA","U.S.A.","",""
12,"Kelowna Badminton Club","1090 Richter Street","V1Y 2K5","Kelowna","BC","Canada","(250) 317-5715","pondsupplies@hotmail.com"
13,"Sharing Youth Centre","Nsambya Road","","Kampala","","Uganda","",""
14,"RWE-Sporthalle","An den Sportstätten 6","45468","Mülheim an der Ruhr","","Germany","",""
15,"NIA, Birmingham","","","Birmingham","","England","",""
16,"Brushy Creek Community Center","16318 Great Oaks Drive","78681","Round Rock","TX","U.S.A.","512 255 7871",""
17,"St. Jakobshalle","Brünglingerstrasse 21","4052","Basel","","Switzerland","",""
18,"Randolph Recreation Center","200 S. Randolph","","Tucson","Arizona","U.S.A.","",""
19,"Sport Hall","Suchowolca str.26","15-566","Bialystok","","Poland","48602480879","klub@ksbialystok.pl"
20,"Netsports","3717 Davis Drive","","Morrisville","NC","U.S.A.","",""
21,"Ajax High School","105 Bayly Street East","L1S 1P2","Ajax","Ontario","Canada","905-683-1610",""
22,"Elk Grove Pavilion","1000 Wellington","60007","Elk Grove","IL","U.S.A.","",""
23,"LABC - Los Angeles Badminton Club","10410 Valley Blvd.","91731","El Monte","CA","","","info@labadmintonclub.com"
24,"Interlake High School","16245 NE 24th St.","98008","Bellevue","WA","U.S.A.","425-456-7200",""
25,"Club Atwater","3505 Atwater Avenue","H3H 1Y2","Montreal","Quebec","Canada","514 935 2431",""
26,"San Gabriel Valley Badminton Club","9255 Telstar Ave","91731","El Monte","California","","",""
27,"MIT Rockwell Cage","Vassar Street","2139","Cambridge","MA","U.S.A.","",""
28,"OCBC","1432 N. Main St.","92867","Orange","CA","U.S.A.","",""
29,"Texins Activity Centers","13900 North Central Expressway","75243","Dallas","Texas","U.S.A.","214.567.3777","officers@texinsbadmintonclub.com"
30,"Singapore Indoor Stadium","2 Stadium Walk Singapore 397691","","Singapore","","Singapore","",""
31,"Istora","","","Jakarta","","Indonesia","",""
32,"John Bowne High School","63-25 Main St.","11367","Flushing","NY","U.S.A.","646-271-3228","info@nycbadminton.com"
33,"Bay Badminton Club","1611 Adrian Road","94010","Burlingame","CA","U.S.A.","",""
34,"Stadium Bandaraya Johor Bharu","Jalan Tebrau","","Johor Bharu","Johor","Malaysia","",""
35,"Wentworth Institute of Technology","550 Huntington Avenue","","Boston","MA","U.S.A.","",""
36,"Ryerson Kerr Hall Gym","379 Victoria St.","","Toronto","Ontario","Canada","","badmin@ryerson.ca"
37,"Woodlands Sports Hall","2 Woodlands Street 12","738620","Singapore","","Singapore","",""
