Tournament1,Tournament2,SharedPlayers
10th Anniversary USBDF Winter Junior International Championships,2010 USAB Junior Nationals,149
10th Anniversary USBDF Winter Junior International Championships,2011 LABC Junior Ranking Tournament,31
10th Anniversary USBDF Winter Junior International Championships,USA Badminton 2018 Team USA Trials,19
10th Anniversary USBDF Winter Junior International Championships,XXI Pan Am Junior Championships 2012,17
2011 K&D Graphics US Junior Nationals,2012 K&D Graphics US Junior Nationals,150
2011 K&D Graphics US Junior Nationals,2010 USAB Junior Nationals,130
2011 K&D Graphics US Junior Nationals,2011 USBDF Winter Junior Internationals (USA version),101
2011 K&D Graphics US Junior Nationals,Elk Grove Girls U21 Badminton Tournament,1
2011 USBDF Winter Junior Internationals (USA version),2011 USBDF Winter Junior Internationals,206
2011 USBDF Winter Junior Internationals (USA version),2012 SoCal Regional Junior Ranking Tournament,29
2011 USBDF Winter Junior Internationals (USA version),V Copa Sir Arthur Smithyes 2010,1
UCLA Bruin Open 2014,UCLA Bruin Open 2013,43
2010 USA Badminton Under 19 Junior International Trials,2010 USAB Junior Nationals,26
Self Help for the Elderly 2010,2011 Bay Badminton Championships,39
2011 Bay Badminton Championships,2011 USA Badminton Adult Nationals,33
2011 CA International Junior Badminton Championships,2011 Northern California Junior Open,120
BWF World Junior Championships 2011,BWF World Junior Championships 2012 for EYE - Level Cups,99
BWF World Junior Championships 2011,BWF BIMANTARA CUPS WORLD JUNIOR CHAMPIONSHIPS,22
2014 MSJ Key Club's 7th Annual Charity Badminton Tournament (CBT),2014 Smash of the Titans,87
2014 MSJ Key Club's 7th Annual Charity Badminton Tournament (CBT),2014 Polar Bear VII,56
2014 MSJ Key Club's 7th Annual Charity Badminton Tournament (CBT),SJSU Spring Smashoff 2018,9
2012 USAB Adult National Championships,2011 USA Badminton Adult Nationals,46
2012 USAB Adult National Championships,2013 K&D Graphics US Adult Nationals,38
2011 USAB Junior International Trials,2010 USAB Junior Nationals,156
2010 USAB Junior Nationals,2012 USAB Junior International Trials (JIT),104
2010 USAB Junior Nationals,2010 USA Badminton Junior International Trials,72
2010 USAB Junior Nationals,2010 LI-NING California International Badminton Junior Championships,44
2010 USAB Junior Nationals,2012 YONEX NEW YORK OPEN - DOWNEY CUP,1
YONEX CANADA OPEN GRAND PRIX 2010,2010 Yonex OCBC U.S. Open Grand Prix Gold Badminton Championships,142
YONEX CANADA OPEN GRAND PRIX 2010,2010 Atwater Canadian International Challenge,50
YONEX CANADA OPEN GRAND PRIX 2010,2014 Jack Underhill Open,13
2011 USA Badminton Adult Nationals,2010 USAB Adult National Championships,48
2011 USA Badminton Adult Nationals,2011 USAB Adult Team USA Trials,36
2011 USA Badminton Adult Nationals,2013 USA Badminton Adult Trials,19
2010 CA Spring Challenge,SGVBC Spring Swing 2010,32
LABC - Li-Ning L.A. Open 2010,LABC Badminton Bash,82
LABC - Li-Ning L.A. Open 2010,LABC Summer Bash Tournament,61
LABC - Li-Ning L.A. Open 2010,Dave Freeman Open 2010,48
LABC - Li-Ning L.A. Open 2010,2010 USAB Adult National Championships,41
LABC - Li-Ning L.A. Open 2010,2010 Pasadena Snr Olympics,11
LABC - Li-Ning L.A. Open 2010,2019 EDBA Junior Open,3
2011 USAB Adult Team USA Trials,2012 USAB Team USA Adult Trials,20
2011 Yonex OCBC US Open Grand Prix Gold,2011 Yonex Canada Open,126
2011 Yonex OCBC US Open Grand Prix Gold,YONEX BWF World Championships 2011,119
2011 Yonex OCBC US Open Grand Prix Gold,2010 Yonex OCBC U.S. Open Grand Prix Gold Badminton Championships,75
2011 Yonex OCBC US Open Grand Prix Gold,Yonex OCBC US Open GPG 2012,58
2011 Yonex OCBC US Open Grand Prix Gold,2011 Bill Graham Miami International - FINAL,18
YONEX-SUNRISE India Open 2019,Singapore Open 2019,98
YONEX-SUNRISE India Open 2019,Syed Modi International Badminton Championships 2018,91
2018 YONEX/K&D GRAPHICS International Challenge,2017 Yonex/K&D Graphics International Challenge,55
2018 YONEX/K&D GRAPHICS International Challenge,2018 YONEX/K&D Graphics International Series,34
2018 YONEX/K&D GRAPHICS International Challenge,2019 Silicon Valley International Series,26
YONEX US Open 2019,2019 YONEX Canada Open,156
YONEX US Open 2019,Orléans Masters 2019,71
2019 YONEX Boston Open,2018 YONEX Boston Open,89
2019 YONEX Boston Open,Connecticut Open - 2019,34
2019 YONEX Boston Open,2016 Donate Life Transplant Games of America,1
TOTAL BWF World Championships 2019,TOTAL BWF World Championships 2018,216
TOTAL BWF World Championships 2019,DAIHATSU YONEX Japan Open 2019,194
TOTAL BWF World Championships 2019,TotalEnergies BWF World Championships 2021,170
TOTAL BWF World Championships 2019,YONEX German Open 2019,153
TOTAL BWF World Championships 2019,Tokyo 2020 Olympic Games Badminton,134
TOTAL BWF World Championships 2019,YONEX Thailand Open,133
2012 LABC Chinese New Year Tournament,2012 LABC Summer Bash Tournament,101
2012 LABC Chinese New Year Tournament,LABC Summer Bash Tournament,85
2012 LABC Chinese New Year Tournament,2011 CA Spring Challenge,17
2012 K&D Graphics US Junior Nationals,2013 USA Badminton Junior Nationals,143
2012 K&D Graphics US Junior Nationals,2012 Northwest Super Regional Junior Badminton Tournament,98
2012 K&D Graphics US Junior Nationals,2012 USBDF Winter Junior Internationals,86
2019 USAB Pan Am Games Trial,2014 U.S. Junior Nationals,25
2019 USAB Pan Am Games Trial,2019 USAB Sudirman Cup and Pan Am Team Trials,20
PRINCESS SIRIVANNAVARI Thailand Masters 2019,YONEX Chinese Taipei Open 2019,89
PRINCESS SIRIVANNAVARI Thailand Masters 2019,PRINCESS SIRIVANNAVARI Thailand Masters 2018,85
VICTOR China Open 2018,DAIHATSU YONEX Japan Open 2018,185
VICTOR China Open 2018,TOTAL BWF World Championships 2018,184
2012 LABC Summer Bash Tournament,SGVBC Summer Smash 2012,73
2012 LABC Summer Bash Tournament,2012 LABC Thanksgiving Tournament,70
2012 LABC Summer Bash Tournament,Merdeka Cup 2012 (OFFICIAL),57
2012 LABC Summer Bash Tournament,2012 CA Spring Challenge,26
Barcelona Spain Masters 2018,Orleans Masters 2018,70
Macau Open 2018,YONEX Chinese Taipei Open 2018,103
Macau Open 2018,GWANGJU Korea Masters 2018,88
Orléans Masters 2019,Spanish International 2019,90
XXIII Pan Am individual Championships 2019,XXII Pan Am Individual Championships 2018,63
XXIII Pan Am individual Championships 2019,Pan Am Games LIMA2019,61
XXIII Pan Am individual Championships 2019,XXV Pan Am Individual Championships 2022,50
XXIII Pan Am individual Championships 2019,IX International Mexicano 2018,49
XXIII Pan Am individual Championships 2019,XXI Pan American Championships 2017,46
XXIII Pan Am individual Championships 2019,Perú International 2019,46
XXIII Pan Am individual Championships 2019,34th Brazil International Challenge 2019,43
XXIII Pan Am individual Championships 2019,Perú International 2018,39
XXIII Pan Am individual Championships 2019,V Jamaica International 2019,36
XXIII Pan Am individual Championships 2019,XXII Peru International Challenge 2017,30
XXIII Pan Am individual Championships 2019,XX Giraldilla 2019,19
YONEX-SUNRISE Hong Kong Open 2018,Fuzhou China Open 2018,175
YONEX-SUNRISE Hong Kong Open 2018,TOTAL BWF World Championships 2018,161
YONEX-SUNRISE Hong Kong Open 2018,CROWN GROUP Australian Open 2019,146
YONEX-SUNRISE Hong Kong Open 2018,VICTOR Korea Open 2018,130
GWANGJU Korea Masters 2018,Gwangju VICTOR Korea Masters 2017,87
LABC Badminton Bash,SGVBC Summer Smash 2010,76
Kalayaan Cup,ACES SHUTTLES KALAYAAN CUP 2013,55
Kalayaan Cup,Merdeka Cup,42
Kalayaan Cup,"Smash for Japan $3,500 Prizes",35
Kalayaan Cup,COACH Badminton Classic,28
Kalayaan Cup,Men in Skirts,27
CROWN GROUP Australian Open 2018,BARFOOT & THOMPSON New Zealand Open 2018,135
