Venue1_Id,Venue2_Id,Venue_StreetAddress1,Venue_StreetAddress2,Similarity
1,610,190 Constitution Drive,190 Constitution Dr,0.85
2,61,6842 Main Street,6842 Main Street,1.0
3,53,1009 Armour Road North,1009 Armour Road North,1.0
3,62,1009 Armour Road North,1009 Armour Road North,1.0
4,33,1611 Adrian Road,1611 Adrian Road,1.0
4,88,1611 Adrian Road,1611 Adrian Road,1.0
8,134,1432 North Main Street,1432 North Main Street,1.0
9,21,105 Bayly Street East,105 Bayly Street East,1.0
10,217,Vogelweidplatz 14,Vogelweidplatz 14,1.0
10,509,Vogelweidplatz 14,Vogelweidplatz 14,1.0
11,942,2145 Park Blvd,2145 Park Blvd,1.0
11,1031,2145 Park Blvd,2145 Park Blvd.,0.9230769230769231
14,219,An den Sportstätten 6,An den Sportstätten 6,1.0
14,605,An den Sportstätten 6,An den Sportstätten 6,1.0
14,979,An den Sportstätten 6,An den Sportstätten 6,1.0
14,1099,An den Sportstätten 6,An den Sportstätten 6,1.0
14,1417,An den Sportstätten 6,An den Sportstätten 6,1.0
16,881,16318 Great Oaks Drive,16318 Great Oaks Drive,1.0
23,42,10410 Valley Blvd.,10410 Valley Blvd.,1.0
23,77,10410 Valley Blvd.,10410 Valley Blvd,0.9375
23,84,10410 Valley Blvd.,10410 Valley Blvd.,1.0
23,221,10410 Valley Blvd.,10410 Valley Blvd,0.9375
26,102,9255 Telstar Ave,9255 Telstar Avenue,0.8235294117647058
26,123,9255 Telstar Ave,9255 Telstar Ave,1.0
26,128,9255 Telstar Ave,9255 Telstar Ave,1.0
26,382,9255 Telstar Ave,9255 TELSTAR AVE,1.0
26,411,9255 Telstar Ave,9255 TELSTAR AVENUE,0.8235294117647058
26,481,9255 Telstar Ave,9255 Telstar ave,1.0
26,488,9255 Telstar Ave,9255 Telstar Ave,1.0
26,506,9255 Telstar Ave,9255 Telstar Ave,1.0
26,723,9255 Telstar Ave,9255 Telstar Ave,1.0
28,38,1432 N. Main St.,1432 N. Main St,0.9230769230769231
28,259,1432 N. Main St.,1432 N. Main St.,1.0
29,142,13900 North Central Expressway,13900 North Central Expressway,1.0
33,88,1611 Adrian Road,1611 Adrian Road,1.0
38,259,1432 N. Main St,1432 N. Main St.,0.9230769230769231
40,43,55 Harbord Street,55 Harbord Street,1.0
40,45,55 Harbord Street,55 Harbord Street,1.0
40,103,55 Harbord Street,55 Harbord Street,1.0
40,266,55 Harbord Street,55 Harbord Street,1.0
42,77,10410 Valley Blvd.,10410 Valley Blvd,0.9375
42,84,10410 Valley Blvd.,10410 Valley Blvd.,1.0
42,221,10410 Valley Blvd.,10410 Valley Blvd,0.9375
43,45,55 Harbord Street,55 Harbord Street,1.0
43,103,55 Harbord Street,55 Harbord Street,1.0
43,266,55 Harbord Street,55 Harbord Street,1.0
44,95,33540 Central Ave,33540 Central Avenue,0.8333333333333334
44,1106,33540 Central Ave,33540 Central Ave,1.0
45,103,55 Harbord Street,55 Harbord Street,1.0
45,266,55 Harbord Street,55 Harbord Street,1.0
46,97,500 W. Nedderman Drive,500 W.Nedderman Drive,1.0
