Venue1_Id,Venue2_Id,Venue1_Name,Venue2_Name,Venue1_StreetAddress,Venue2_StreetAddress,Similarity
2,61,Shula's Hotel and Golf Club,Shula's Hotel & Golf Club,6842 Main Street,6842 Main Street,0.8888888888888888
4,33,Bay Badminton,Bay Badminton Club,1611 Adrian Road,1611 Adrian Road,0.8333333333333334
4,88,Bay Badminton,Bay Badminton Center,1611 Adrian Road,1611 Adrian Road,0.8333333333333334
8,134,Orange County Badminton Club,Orange County Badminton CLub,1432 North Main Street,1432 North Main Street,1.0
10,509,Wiener Stadthalle - Halle B,Wiener Stadthalle B,Vogelweidplatz 14,Vogelweidplatz 14,0.8333333333333334
11,942,Balboa Park Activity Center,Balboa Activity Center,2145 Park Blvd,2145 Park Blvd,1.0
14,219,RWE-Sporthalle,RWE - Sporthalle,An den Sportstätten 6,An den Sportstätten 6,1.0
23,84,LABC - Los Angeles Badminton Club,Los Angeles Badminton Club (LABC),10410 Valley Blvd.,10410 Valley Blvd.,1.0
23,221,LABC - Los Angeles Badminton Club,LOS ANGELES BADMINTON CLUB (LABC),10410 Valley Blvd.,10410 Valley Blvd,1.0
26,123,San Gabriel Valley Badminton Club,San Gabriel Valley Badminton Club I,9255 Telstar Ave,9255 Telstar Ave,0.8888888888888888
26,128,San Gabriel Valley Badminton Club,San Gabriel Valley Badminton Club 1,9255 Telstar Ave,9255 Telstar Ave,0.8888888888888888
27,75,MIT Rockwell Cage,"MIT, Rockwell Cage",Vassar Street,120 Vassar Street,0.8333333333333334
27,138,MIT Rockwell Cage,"Rockwell Cage, MIT",Vassar Street,120 Vassar Street,0.8333333333333334
47,81,CP Badminton Club(CPBC),CP Badminton Club (CPBC),20-24 119th Street,20-24 119th Street,1.0
47,98,CP Badminton Club(CPBC),CP Badminton Club,20-24 119th Street,20-24 119th Street,0.875
51,646,Shula's Athletic Club,Don Shula's Athletic Club,15150 Bull Run Road,15150 Bull Run Road,0.8888888888888888
69,86,JOHN BOWNE HS gym,JOHN BOWNE HS GYM,63-25 Main Street,63-25 Main Street,1.0
75,138,"MIT, Rockwell Cage","Rockwell Cage, MIT",120 Vassar Street,120 Vassar Street,1.0
81,98,CP Badminton Club (CPBC),CP Badminton Club,20-24 119th Street,20-24 119th Street,0.875
82,763,Boston Badminton Club,Boston Badminton club,169 Flanders Rd,169 Flanders Rd,1.0
83,87,San Gabriel Valley Badminton Club II,San Gabriel Valley Bamdinton Club II,3410 Pomona Blvd,3410 Pomona Blvd,0.8
83,238,San Gabriel Valley Badminton Club II,San Gabriel Valley Badminton Club #2,3410 Pomona Blvd,3410 Pomona Blvd,0.8
83,253,San Gabriel Valley Badminton Club II,San Gabriel Valley Badminton Club II: Pomona,3410 Pomona Blvd,3410 Pomona Blvd,1.0
83,339,San Gabriel Valley Badminton Club II,San Gabriel Valley Badminton Club 2,3410 Pomona Blvd,3410 Pomona Blvd,0.8
83,650,San Gabriel Valley Badminton Club II,San Gabriel Valley Badminton Club 2: Pomona,3410 Pomona Blvd,3410 Pomona Blvd,0.8
83,700,San Gabriel Valley Badminton Club II,San Gabriel Valley Badminton Club (SGVBC),3410 Pomona Blvd,3410 Pomona Blvd,0.8
83,897,San Gabriel Valley Badminton Club II,San Gabriel Valley Badminton Club - Pomona,3410 Pomona Blvd,3410 Pomona Blvd,0.8888888888888888
84,221,Los Angeles Badminton Club (LABC),LOS ANGELES BADMINTON CLUB (LABC),10410 Valley Blvd.,10410 Valley Blvd,1.0
87,253,San Gabriel Valley Bamdinton Club II,San Gabriel Valley Badminton Club II: Pomona,3410 Pomona Blvd,3410 Pomona Blvd,0.8
100,187,Cambie Secondary School,Cambie Secondary,4151 Jacombs Road,4151 Jacombs Road,0.8333333333333334
119,153,SGVBC Pomona,SGVBC II POMONA,3410 Pomona Blvd,3410 Pomona Blvd.,0.8
119,440,SGVBC Pomona,SGVBC 2 POMONA,3410 Pomona Blvd,3410 POMONA BLVD,0.8
119,840,SGVBC Pomona,SGVBC 2 Pomona,3410 Pomona Blvd,3410 Pomona Blvd,0.8
123,128,San Gabriel Valley Badminton Club I,San Gabriel Valley Badminton Club 1,9255 Telstar Ave,9255 Telstar Ave,0.8
136,230,University of Central Oklahoma- Wellness Center,University of Central Oklahoma - Wellness Center,100 N. University Drive,100 N. University Drive,1.0
137,340,Siri Fort Indoor Stadium,"Siri Fort Indoor Stadium,","Siri Fort Complex, Siri Fort Road","Siri Fort Complex,",0.8333333333333334
139,1093,University of Arizona Student Recreation Center,University Of Arizona Recreation Center,1400 E 6TH ST,1400 E 6th St Tucson,0.8181818181818182
144,200,Badminton Center Court,Badminton Center Court Inc.,3699 Industry Avenue,3699 Industry Avenue,0.8571428571428571
147,367,Boston Badminton Center,Boston Badminton,169 Flanders Road,169 Flanders Road,0.8333333333333334
148,1286,International Badminton Center,INTERNATIONAL BADMINTON CENTER EDISON,3775 Park Ave,3775 PARK AVE,0.8571428571428571
149,445,,Lucky Shoals Park,4651 Britt Road Lucky Shoals Park,4651 Britt Road,1.0
160,274,P. E. Society’s Modern PDMBA Sports Complex,P. E. Society's Modern PDMBA Sports Complex,Modern High School Premises,Modern High School Premises,1.0
160,453,P. E. Society’s Modern PDMBA Sports Complex,P.E. Society's Modern PDMBA Sports Complex,Modern High School Premises,Modern High School Premises,1.0
162,238,San Gabriel Valley Badminton 2,San Gabriel Valley Badminton Club #2,3410 Pomona Blvd,3410 Pomona Blvd,0.8888888888888888
162,339,San Gabriel Valley Badminton 2,San Gabriel Valley Badminton Club 2,3410 Pomona Blvd,3410 Pomona Blvd,0.8888888888888888
162,650,San Gabriel Valley Badminton 2,San Gabriel Valley Badminton Club 2: Pomona,3410 Pomona Blvd,3410 Pomona Blvd,0.8888888888888888
163,964,Olympic Sports Center Xincheng Gymnasium,Olympic Sports Center Gymnasium,NO.1 Jinling North Road,1 Jinling North Road,0.8
164,1197,Sportoase,Sportoase Philipssite Leuven,Philipssite Leuven 6,Philipssite 6,1.0
177,284,Sofia Hall - Borisova Garden,Sofia Hall,Borisova Garden,"Dstr. ""Borisova Garden""",0.8
178,287,"Topsportcentrum Almere,",Topsportcentrum Almere,,,1.0
207,312,Cricket Club of India (Mumbai),"Cricket Club of India, Mumbai",Brabourne Stadium Dinshaw Vachha Road Churchgate,Brabourne Stadium Dinshaw Vachha Road Churchgate,1.0
207,998,Cricket Club of India (Mumbai),"Cricket Club of India, Mumbai (CCI)",Brabourne Stadium Dinshaw Vachha Road Churchgate,"Brabourne Stadium, Dinshaw Vachha Road, Churchgate,",0.9166666666666666
208,407,Falconer Salen,Falkoner salen,Falkoner Alle 9,Falkoner alle 9,0.8
